supplier_id,name,company_name,contact_person,phone,email,address,status,default_lead_time_days,delivery_schedule,notes
SUP001,Glamour Care Distributors,Glamour Care Distributors Pvt Ltd,Priya Sharma,+91-9876543210,contact@glamourcare.in,"Block 4, Cosmetic Park, Baddi, HP 173205",Active,4,Daily,"Specialized in beauty, personal care, and hygiene products. Specialized in 'Beauty & Hygiene'."
SUP002,PureSkin Essentials,PureSkin Essentials Co.,Arun Mehta,+91-9876543211,sales@pureskin.in,"Sector 12, Industrial Area, Gurgaon, HR 122001",Active,4,Daily,Premium skincare and cosmetic supplies. Specialized in 'Beauty & Hygiene'.
SUP003,Naturals Beauty Supply,Naturals Beauty Supply LLP,Sunita Rao,+91-9876543212,info@naturalsbeauty.in,"Plot 8, Herbal Park, Indore, MP 452001",Active,6,Alternate Day,Herbal and ayurvedic beauty products. Specialized in 'Beauty & Hygiene'.
SUP004,CareWell Distributors,CareWell Distributors Co.,Ravi Kumar,+91-9876543213,orders@carewelldist.in,"APIE Phase 2, Hyderabad, TS 500037",Active,4,Daily,Personal care and wellness products. Specialized in 'Beauty & Hygiene'.
SUP005,Personal Care Plus,Personal Care Plus India,Meera Iyer,+91-9876543214,support@pcplus.in,"Unit 15, Pharma Zone, Ahmedabad, GJ 382001",Active,5,Daily,Daily-use personal care essentials. Specialized in 'Beauty & Hygiene'.
SUP006,HerbalGlow India,HerbalGlow India Pvt Ltd,Vikram Patel,+91-9876543215,biz@herbalglow.in,"Green Belt, Jaipur, RJ 302001",Active,6,Alternate Day,Natural and herbal hygiene products. Specialized in 'Beauty & Hygiene'.
SUP007,SoftTouch Hygiene,SoftTouch Hygiene Solutions,Anita Desai,+91-9876543216,hello@softtouch.in,"Warehouse 22, Pune, MH 411001",Active,3,Daily,Hygiene and sanitization products. Specialized in 'Beauty & Hygiene'.
SUP008,MedLife Wholesale,MedLife Wholesale Pvt Ltd,Dr. Sanjay Gupta,+91-9876543217,wholesale@medlife.in,"Medical Zone, Nampally, Hyderabad, TS 500001",Active,5,Daily,Health and medicated personal care. Specialized in 'Beauty & Hygiene'.
SUP009,DermaCare Solutions,DermaCare Solutions India,Neha Singh,+91-9876543218,sales@dermacare.in,"Skin Care Park, Bangalore, KA 560001",Active,4,Daily,Dermatologist-recommended skincare. Specialized in 'Beauty & Hygiene'.
SUP010,Aura Personal Care,Aura Personal Care Ltd,Kiran Shah,+91-9876543219,info@aurapc.in,"Personal Care Hub, Mumbai, MH 400001",Active,5,Daily,Luxury personal care brands. Specialized in 'Beauty & Hygiene'.
SUP011,GlobalFoods India,GlobalFoods India Pvt Ltd,Rajesh Khanna,+91-9876543220,contact@globalfoods.in,"World Food Park, Mumbai, MH 400001",Active,7,Twice Weekly,Imported gourmet and specialty foods. Specialized in 'Gourmet & World Food'.
SUP012,Exotic Ingredients Co.,Exotic Ingredients Co. LLP,Pooja Malhotra,+91-9876543221,orders@exoticingredients.in,"Spice Trade Center, Kochi, KL 682001",Active,6,Twice Weekly,"Exotic spices, sauces, and condiments. Specialized in 'Gourmet & World Food'."
SUP013,Continental Flavors,Continental Flavors Ltd,Amit Bhatia,+91-9876543222,sales@continentalflavors.in,"Food Park, Delhi, DL 110001",Active,7,Weekly,Continental and European specialty foods. Specialized in 'Gourmet & World Food'.
SUP014,World Pantry,World Pantry India,Sneha Joshi,+91-9876543223,hello@worldpantry.in,"Import Zone, Chennai, TN 600001",Active,8,Weekly,International pantry staples. Specialized in 'Gourmet & World Food'.
SUP015,Chef's Basket Supplies,Chef's Basket Supplies Co.,Chef Karan,+91-9876543224,biz@chefsbasket.in,"Restaurant Supply Hub, Bangalore, KA 560001",Active,5,Twice Weekly,Premium chef-grade ingredients. Specialized in 'Gourmet & World Food'.
SUP016,FineFoods Distributors,FineFoods Distributors Pvt Ltd,Lata Nair,+91-9876543225,orders@finefoods.in,"Gourmet Park, Kolkata, WB 700001",Active,6,Weekly,High-end gourmet foods. Specialized in 'Gourmet & World Food'.
SUP017,TasteWorld Imports,TasteWorld Imports India,Farhan Qureshi,+91-9876543226,import@tasteworld.in,"Sea Port Zone, Vizag, AP 530001",Active,9,Weekly,Imported world food brands. Specialized in 'Gourmet & World Food'.
SUP018,FlavorFusion Foods,FlavorFusion Foods LLP,Deepa Menon,+91-9876543227,sales@flavorfusion.in,"Fusion Food Park, Coimbatore, TN 641001",Active,7,Twice Weekly,Fusion and ethnic specialty foods. Specialized in 'Gourmet & World Food'.
SUP019,HomeEssentials India,HomeEssentials India Pvt Ltd,Suresh Pillai,+91-9876543228,info@homeessentials.in,"Home Utility Park, Bangalore, KA 560001",Active,5,Daily,"Kitchen tools and home essentials. Specialized in 'Kitchen, Garden & Pets'."
SUP020,KitchenCraft Supplies,KitchenCraft Supplies Co.,Rekha Agarwal,+91-9876543229,orders@kitchencraft.in,"Kitchenware Zone, Delhi, DL 110001",Active,4,Daily,"Premium kitchenware and cookware. Specialized in 'Kitchen, Garden & Pets'."
SUP021,GardenGreen Distributors,GardenGreen Distributors LLP,Mohan Reddy,+91-9876543230,sales@gardengreen.in,"Garden Supply Hub, Hyderabad, TS 500001",Active,6,Weekly,"Garden tools, seeds, and accessories. Specialized in 'Kitchen, Garden & Pets'."
SUP022,PetCare Wholesale,PetCare Wholesale India,Rohini Das,+91-9876543231,wholesale@petcare.in,"Pet Products Park, Pune, MH 411001",Active,5,Twice Weekly,"Pet food and care products. Specialized in 'Kitchen, Garden & Pets'."
SUP023,HandyHome Products,HandyHome Products Ltd,Tarun Bose,+91-9876543232,contact@handyhome.in,"Home Goods Park, Ahmedabad, GJ 382001",Active,5,Daily,"Household utility and organization products. Specialized in 'Kitchen, Garden & Pets'."
SUP024,Modern Kitchen Co.,Modern Kitchen Co. India,Isha Verma,+91-9876543233,info@modernkitchen.in,"Modular Kitchen Park, Noida, UP 201301",Active,4,Daily,"Modern kitchen appliances and gadgets. Specialized in 'Kitchen, Garden & Pets'."
SUP025,SweetSource Regional,SweetSource Regional Pvt Ltd,Manish Jain,+91-9876543234,orders@sweetsourceregional.in,"Shop 22, Market Complex, Nellore, AP 524001",Active,3,Daily,Regional sweets and packaged snacks. Specialized in 'Snacks & Branded Foods'.
SUP026,CrunchTime Snacks,CrunchTime Snacks India,Divya Kapoor,+91-9876543235,sales@crunchtime.in,"Snack Park, Indore, MP 452001",Active,4,Daily,Salty snacks and namkeen. Specialized in 'Snacks & Branded Foods'.
SUP027,SnackWorld India,SnackWorld India Pvt Ltd,Kabir Khan,+91-9876543236,biz@snackworld.in,"Food Processing Zone, Mumbai, MH 400001",Active,5,Daily,National snack brands. Specialized in 'Snacks & Branded Foods'.
SUP028,Munchies Mart,Munchies Mart Distributors,Tina Patel,+91-9876543237,orders@munchiesmart.in,"Wholesale Market, Surat, GJ 395001",Active,4,Daily,Biscuits and ready-to-eat snacks. Specialized in 'Snacks & Branded Foods'.
SUP029,SavoryBites Supply,SavoryBites Supply Co.,Naveen Gowda,+91-9876543238,contact@savorybites.in,"Food Park, Mysore, KA 570001",Active,5,Daily,Savory and ethnic snacks. Specialized in 'Snacks & Branded Foods'.
SUP030,Britannia Regional Hub,Britannia Regional Hub,Shalini Krishnan,+91-9876543239,hub@britannia-regional.in,"Regional Distribution Center, Coimbatore, TN 641001",Active,3,Daily,Branded biscuits and bakery snacks. Specialized in 'Snacks & Branded Foods'.
SUP031,CleanHome Supplies,CleanHome Supplies Co.,Aditya Naik,+91-9876543240,contact@cleanhomesupplies.in,"Sector 7, Warehouse Zone, Hyderabad, TS 500001",Active,5,Daily,Household cleaning products. Specialized in 'Cleaning & Household'.
SUP032,SparkleClean Distributors,SparkleClean Distributors Pvt Ltd,Bhavna Sharma,+91-9876543241,sales@sparkleclean.in,"Cleaning Park, Nagpur, MH 440001",Active,4,Daily,Floor and surface cleaners. Specialized in 'Cleaning & Household'.
SUP033,HomeCare Solutions,HomeCare Solutions India,Prakash Iyer,+91-9876543242,orders@homecaresolutions.in,"Home Care Park, Bangalore, KA 560001",Active,5,Daily,Home care and disinfectants. Specialized in 'Cleaning & Household'.
SUP034,FreshHome Wholesale,FreshHome Wholesale LLP,Geeta Rani,+91-9876543243,wholesale@freshhome.in,"Warehouse District, Lucknow, UP 226001",Active,6,Alternate Day,Air fresheners and home fragrances. Specialized in 'Cleaning & Household'.
SUP035,HygieneFirst Supplies,HygieneFirst Supplies Co.,Ashok Mishra,+91-9876543244,info@hygienefirst.in,"Hygiene Park, Bhopal, MP 462001",Active,4,Daily,Hygiene and cleaning supplies. Specialized in 'Cleaning & Household'.
SUP036,EcoClean India,EcoClean India Pvt Ltd,Lakshmi Narayan,+91-9876543245,sales@ecoclean.in,"Eco Park, Chennai, TN 600001",Active,5,Daily,Eco-friendly cleaning products. Specialized in 'Cleaning & Household'.
SUP037,GrainCo Vijayawada,GrainCo Agro Pvt Ltd,Srinivas Rao,+91-9876543246,contact@graincovijayawada.in,"Plot 12, Industrial Area, Vijayawada, AP 520001",Active,5,Daily,"Rice, wheat, and grain staples. Specialized in 'Foodgrains, Oil & Masala'."
SUP038,OilTrade AP,OilTrade AP Industries,Venkatesh Naidu,+91-9876543247,contact@oiltradeap.in,"Unit 4, Oil Mill Road, Guntur, AP 522001",Active,5,Daily,"Edible oils and ghee. Specialized in 'Foodgrains, Oil & Masala'."
SUP039,Spices of India,Spices of India Co.,Zahid Khan,+91-9876543248,orders@spicesofindia.in,"Spice Market, Guntur, AP 522001",Active,4,Daily,"Whole and ground spices. Specialized in 'Foodgrains, Oil & Masala'."
SUP040,OrganicGrains Co.,OrganicGrains Co. LLP,Ramesh Yadav,+91-9876543249,sales@organicgrains.in,"Organic Park, Jaipur, RJ 302001",Active,6,Alternate Day,"Organic grains and flours. Specialized in 'Foodgrains, Oil & Masala'."
SUP041,Masala King,Masala King Pvt Ltd,Imran Sheikh,+91-9876543250,biz@masalaking.in,"Masala Park, Mumbai, MH 400001",Active,3,Daily,"Blended masalas and spice mixes. Specialized in 'Foodgrains, Oil & Masala'."
SUP042,FarmFresh Pulses,FarmFresh Pulses Ltd,Sumitra Devi,+91-9876543251,orders@farmfreshpulses.in,"Pulse Market, Indore, MP 452001",Active,5,Daily,"Pulses and lentils. Specialized in 'Foodgrains, Oil & Masala'."
SUP043,BevCorp India,BevCorp India Ltd,Alok Verma,+91-9876543252,contact@bevcorpindia.in,"Industrial Plot 88, Vizag, AP 530001",Active,5,Daily,Soft drinks and packaged beverages. Specialized in 'Beverages'.
SUP044,Refresh Beverages,Refresh Beverages Pvt Ltd,Diya Thomas,+91-9876543253,sales@refreshbeverages.in,"Beverage Park, Kochi, KL 682001",Active,4,Daily,Juices and fruit drinks. Specialized in 'Beverages'.
SUP045,DrinkWell Distributors,DrinkWell Distributors Co.,Harsh Vardhan,+91-9876543254,orders@drinkwell.in,"Drinks Hub, Gurgaon, HR 122001",Active,5,Daily,Health drinks and energy beverages. Specialized in 'Beverages'.
SUP046,Hydration Hub,Hydration Hub India,Simran Kaur,+91-9876543255,info@hydrationhub.in,"Water Bottling Zone, Chennai, TN 600001",Active,3,Daily,Packaged water and hydration products. Specialized in 'Beverages'.
SUP047,BakeMaster Artisans,BakeMaster Artisans Pvt Ltd,Chef Joseph,+91-9876543256,contact@bakemasterartisans.in,"Baker Street, Tirupati, AP 517501",Active,1,Daily,"Bakery, cakes, and bread. Specialized in 'Bakery, Cakes & Dairy'."
SUP048,DairyBest Krishna,DairyBest Krishna Farms,Krishna Murthy,+91-9876543257,contact@dairybestkrishna.in,"Dairy Colony, Krishna Dist, AP 521001",Active,2,Daily,"Fresh dairy products. Specialized in 'Bakery, Cakes & Dairy'."
