sku,name,unit,current_stock,reorder_threshold,supplier_name,lead_time_days,category,notes,unit_price
BB-10007,Awakening Aromatherapy Diffuser Oil,unit,151.0,15.0,CareWell Distributors,7,Beauty & Hygiene,Awaken your senses with the Oriental Botanics Awakening Aromatherapy Diffuser Oil. Infused with the goodness of lavender infused with geranium and rosemary making it a perfect mix for arousing your consciousness.,899.0
BB-10026,Sunscreen Lotion - Carrot,unit,251.0,18.0,Glamour Care Distributors,7,Beauty & Hygiene,"100 % free of oxybenzone, paraben, harsh chemicals, alcohol and artificial fragrance. All-mineral, super light formula creates a physical barrier between you and the sun. Non-greasy, skin friendly and enriched with carrot seed, sea buck thorn and rice bran oils. They provide natural sun safety, Vitamins B5, C, E and prevents visible signs of ageing. Notes of lavender, chamomile and myrrh essential oils moisturise, soothe and protect your skin. The non-nano Zinc Oxide is a mineral reflector found in nature that scatters harmful rays. Carrot extracts fortify skin cells and provide smart sun protection.Tip: Following a regular skin care regime can help you achieve flawless skin. For more tips on skin care, visit SIRA lifestyle blog, Click Here to visit SIRA’s lifestyle blog",148.75
BB-10059,Green Chilli Rice Papad,unit,57.0,15.0,CrunchTime Snacks,1,Snacks & Branded Foods,"Rusingo's spice crunch includes Green Chilli Rice Papad. It is made with rice, a hint of lime, salt and a bit of green chilli. It gives it that extra heat. Enjoy it with your meal or have it as a snack itself. It is a perfect blend of yummy flavours and crunchiness. It can be added to many dishes to make them crunchy and salty.",110.0
BB-10060,Coconut Water With Lychee,unit,0.0,10.0,Chef's Basket Supplies,7,Gourmet & World Food,"One taste and you’ll believe the hype about this trending exotic fruit. FOCO Pure Coconut Water combined with the fresh exotic taste of Lychee will delight your taste buds. Grown in Southeast Asia, this naturally sweet and aromatic fruit is small and round with soft fleshy meat underneath its textured pink rind. In today's world where access to pure coconut water is becoming a task, the foco 100% natural coconut water in its original taste.",95.0
BB-10064,Surface Cleaner - Jasmine,unit,21.0,19.0,SparkleClean Distributors,7,Cleaning & Household,"Special formulation kills maximum germs, leaves a pleasant aroma as well as removes toughest stains",32.5
BB-10073,Pitted  Black Olives,unit,11.0,10.0,FineFoods Distributors,7,Gourmet & World Food,"Olives are packed with nutrients, low in fat and are diet-friendly. It can be used in a range of Indian and Italian dishes. Olives are among the widely enjoyed foods in the world that are both tasty and healthy. Olives are part of Mediterranean cuisine and are considered as a staple in several parts of the world. It is rich in Vitamin E, iron and copper and a great source of fibre. Olives are widely used in Italian and French cuisine. Olives make a zesty addition to salads, meat and poultry dishes and, of course in pizzas.",148.5
BB-10077,Sausage - Pork,unit,184.0,10.0,FreshCatch Meats,7,"Eggs, Meat & Fish",Quickee presents their deliciously mouth-watering range of meat products which will enchant your taste buds and leave you craving for more as you rake up your favourite meals. Make your morning breakfasts more exciting by serving Quickees Pork Sausages along with eggs and toast for a scrumptious and a healthy meal.,230.0
BB-10087,Amla Hair Repair Serum,bottle,12.0,11.0,SoftTouch Hygiene,7,Beauty & Hygiene,"Inatur Hair Repair Amla Glossy Serum is a brilliant hairspray with natural oils that hydrates hair to prevent moisture loss & split ends. It helps to daily style to dull, dry and damaged hair making them soft and manageable.",400.0
BB-10088,Nilgiri White Tea - Sei,unit,14.0,13.0,Refresh Beverages,7,Beverages,"Sei, meaning purity in Zen philosophy, reflects cleanliness and orderliness in the physical and the spiritual. Our white ea from Nilgiris is most befitting of this name due to its subtle flavour and experience that require a stillness of mind and environment to appreciate in its entirety. Carefully handpicked as a leaf and a bud, these high grown teas have a well defined structure and orderliness. This fragrant brew has an underlying fragrance of mint, a light and refreshing aroma followed by a soothing aftertaste. A highly prized tea with bright green leaves and silver tips, the Sei White tea brews into a light green cup of smooth, sublime tea with bold notes of spearmint. Our teas taste best in their natural form, without any milk or sugar. A little milk and sugar or honey and lime can be added to complement your taste preferences. """,687.5
BB-10102,Spanish Olives Sliced Green,unit,192.0,15.0,Chef's Basket Supplies,7,Gourmet & World Food,"EAN Code: 8410134015603  Country of origin: Spain  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@SIRA.com",295.0
BB-10106,Maxx Spin Mop With 2 Refills - Aqua Green,unit,51.0,16.0,SparkleClean Distributors,7,Cleaning & Household,"Microfibre cleaning technology is durable, has superior water absorbency, has a non-abrasive lint-free, larger surface area, and is environment friendly. Use it both wet and dry. It is easy to use, store and carry. The spin mop comes with an Oval bucket with drainage, that comes with separate cleaning and wringing operation. The sturdy base comes with 4 small wheels to slide the bucket. The extendable mop handle comes with a 360-degree movement. It is suitable for multipurpose use. It cleans liquid, oil, dust, and bacteria. It has a water outlet to remove dirty water out. It has a liquid dispenser. This has a Microfiber Cleaning Technology: Durable, Superior Water Absorbency, Non Abrasive Lint Free, Larger Surface Area and has a Oval bucket with Drainage, Separate Cleaning and Wringing operation.",1099.0
BB-10118,Chocolate Hazelnut Spread,unit,18.0,16.0,FineFoods Distributors,7,Gourmet & World Food,"Happy Chef brings to you a luscious and creamy Chocolate Hazelnut spread to make your breakfast or hunger pangs delicious and nourishing at the same time. Happy Chef is a brand from the house of SIRA and it lays emphasis on both quality and taste. The promise of Happy chef is to keep you happy and help you enjoy your spreads with bread, chapati or just as it is. It is the perfect accompaniment to your breakfast mornings.",349.01
BB-10133,Hamsapadadi Kwath,unit,15.0,14.0,PureSkin Essentials,7,Beauty & Hygiene,Hamsapadadi Kwath is a concentrated herbal decoction beneficial in the management of thyroid disorders. It helps correct hypothyroidism by balancing normal hormone levels in the blood. The intake of Hamsapadadi Kwath also helps reduce the severity of Goitre and obesity associated with hypothyroidism.,220.0
BB-10136,Fizz - Lime Lemon Classic Cola 300 ml + Fizz - Lime Lemon 300 ml,bottle,0.0,10.0,Hydration Hub,1,Beverages,"Shunya Fizz Lime & Lemon - Guilt-Free Soft Drink With Zero Sugar & No Preservatives 300 ml CanWe got rid of all the bad but kept all the fizz and flavour. Every can of Shunya Fizz Lime & Lemon gives you the unbeatable flavour of citrus with unbelievable goodness. It’s guilt-free fizz with 0 calories, 0 sugar and 0 artificial sweeteners. That means no aspartame unlike the other zero-calorie drinks and none of its negative impacts! Being guilt-free also means no preservatives and no artificial flavours. So, every time you’re drinking Shunya Fizz, you know you’re choosing better. We supercharged our drinks with Green Tea that helps improve your metabolism. To make things better still, every can of Shunya Fizz gives you an immunity boost with a generous dose of antioxidants and a whole lot of Vitamin C (50% of your Recommended Daily Allowance). Shunya Fizz is also clinically proven to be safe for kids and diabetics as it is completely sugar-free and is naturally sweetened with stevia. It fits perfectly into keto diets and vegans can enjoy this fizzy cold drink completely guilt-free too. Love the taste. Feel the goodness. Enjoy the impossible.Shunya Fizz Classic Cola - Guilt-Free Soft Drink With Zero Sugar & No Preservatives 300 ml CanWe got rid of all the bad, but kept all the fizz and flavour. Every can of Shunya Fizz Classic Cola gives you the unbeatable flavour of Cola with unbelievable goodness. It’s guilt-free fizz with 0 calories, 0 sugar and 0 artificial sweeteners. That means no aspartame unlike the other zero-calorie drinks and none of its negative impacts! Being guilt-free also means no preservatives and no artificial flavours. So, every time you’re drinking Shunya Fizz, you know you’re choosing better. We cut out the caffeine and brought in Ashwagandha instead – a super herb that boosts energy and releases stress. To make things better still, every can of Shunya Fizz gives you an immunity boost with a generous dose of antioxidants and a whole lot of Vitamin C (50% of your Recommended Daily Allowance). Shunya Fizz is also clinically proven to be safe for kids and diabetics as it is completely sugar-free and is naturally sweetened with stevia. It fits perfectly into keto diets and vegans can enjoy this fizzy cold drink completely guilt-free too. Love The Taste. Feel The Goodness. Enjoy The Impossible.",120.0
BB-10157,Margherita Pizza - Large,unit,2020.0,619.0,SweetSource Regional,7,Snacks & Branded Foods,"Relish the taste of authentic Italian Style ready to bake pizzas. Each Pizza is a large pizza of 8.5-9.5 inches.
Pizza is Italian cuisine with lovers all around the world.
Enjoy the delicious taste of pizzas from Happy Chef, a well-known pizza brand. 4) Nothing beats a slice of a pizza to be your companion when you are all alone or enjoying with your loved ones.
You can have it for any occasion with friends and family.
Now make delicious artisanal pizzas at home, in just 15 minutes with Happy Chef Pizza.
Our Margarita Pizza loaded with cheese and other premium-quality ingredients are sure to delight your taste buds. 
Simply bake it in the oven or microwave or just cook it on the Tawa, and enjoy delicious pizzas in minutes.",199.0
BB-10158,Tiger Chocolate Cream Biscuits,unit,334.0,97.0,SweetSource Regional,7,Snacks & Branded Foods,"Britannia Tiger Chocolate Cream Biscuits will be your child favourite cream biscuits. Filled with the delicious chocolate these cream biscuits are a tasty companion for your kid's milk time. Britannia biscuits and cookies for long has been a part of every home, sharing those moments of joy. Believing in delivering fresh and healthy products, Britannia India manufactures some of India's favourite brands like 50-50, Tiger, NutriChoice, Bourbon, Good Day, Milk Bikis and Little Hearts.",5.0
BB-10165,Sanitizer - Original Germ Protection,unit,2017.0,341.0,CareWell Distributors,7,Beauty & Hygiene,"Dettol is one of the world's most trusted antiseptic protection brand which gives you 99.99% protection against disease-causing bacteria and germs. Their hand sanitizer protects you from 100 illness-causing germs and saves you the trouble of washing your hands with soap and water during emergencies. Dettol Hand Sanitizer kills 99.9% of germs instantly, without water. Use anytime, anywhere: while in car, office, handbag, picnics, nappy change, travel, sports etc. Leaves your hands refreshed. Use as often as required. Germ protection in the classic Dettol fragrance.Rinse Free & Non-sticky.Use Dettol Hand Sanitiser to protect transference of germs from your hands anytime, anywhere without the use of soap or water.Recommended by the Indian Medical Association.",25.0
BB-10173,Millet Based Nutrition Bar - Ginger & Raisin,bar,221.0,75.0,Exotic Ingredients Co.,7,Gourmet & World Food,Millet based nutrition bar is totally natural and vegetarian. It is one of the healthy options that you can include in your day to day life.It contains 6 gm of protein and the medicinal properties of ginger and raisin. Reduce your hunger pangs in a healthy way with this nutrition bar.,25.0
BB-10185,Beard Kit,unit,1909.0,329.0,SoftTouch Hygiene,7,Beauty & Hygiene,"The combination of a beard oil, a beard wash, mustache wax, all made in Provence, add to that a beard comb.",2475.0
BB-10192,Magic Seal Round Plastic Oil Containers - Royal Blue,unit,254.0,41.0,KitchenCraft Supplies,7,"Kitchen, Garden & Pets","Polyset Magic Seal is Modular Series is designed keeping in mind ergonomics and convenience of use. These BPA free modular containers are available in multiple heights, size and shape which can be used to store food items and yet maximise shelf space, giving your kitchen a modern and stylish look with these stackable smart, airtight, microwave-safe container.",99.0
BB-10199,Kiwi Drink,unit,507.0,148.0,GlobalFoods India,7,Gourmet & World Food,"Ala Fresh Kiwi Fruit Drink is a refreshing fruit drink from the land of beverages, Thailand. At a very affordable price, it delivers instant refreshment and is a very good option for parties and give-aways as well as for self hydration.",10.0
