po_id,po_number,supplier_id,supplier_name,sku,product_name,ordered_qty,received_qty,order_date,expected_delivery_date,actual_delivery_date,status,quality_rating,notes,created_by,supplier_history
10c3526f-9ec4-442a-a004-35155f408a07,PO-2000,SUP052,LittleOnes Care,BB-19375,Baby Milk Soap - Mildness,925.0,925.0,2025-04-20,2025-04-24,2025-04-24,received,4.0,,,
7a5472a0-bfc4-4a88-9dad-c48017ca556d,PO-2001,SUP052,LittleOnes Care,BB-3620,Baby Happy Wet Wipes - Silk & Cotton,246.0,246.0,2025-01-18,2025-01-22,2025-01-20,received,4.0,,,
51923368-aa8b-4136-8f74-69aff7f11a47,PO-2002,SUP052,LittleOnes Care,BB-23909,Baby Bath - Daily Moisturising,119.0,119.0,2026-02-18,2026-02-22,2026-02-22,received,4.0,,,
36afaf43-bbda-4ce0-ad71-51efde4570d3,PO-2003,SUP052,LittleOnes Care,BB-19474,Baby Powder -  No added Talc & Asbestos,86.0,86.0,2025-08-31,2025-09-04,2025-09-06,received,5.0,,,
eb998328-fdc9-4326-8342-31dac5451da1,PO-2004,SUP052,LittleOnes Care,BB-110,"Baby Cereal - Ragi Almond & Banana, 6-8 Months, No Preservatives, No Artificial Colours",206.0,206.0,2026-06-25,2026-06-29,2026-06-28,received,4.0,,,
6ae17e05-6487-4c24-bd89-f8afa2929d1e,PO-2006,SUP052,LittleOnes Care,BB-11323,Baby Care Collection - with Organic Cotton Bib & Baby Comb,175.0,175.0,2026-02-10,2026-02-14,2026-02-13,received,4.0,,,
9fa25b37-2219-4714-9c8c-1844272321c2,PO-2007,SUP052,LittleOnes Care,BB-1301,Baby Wash 200ml+Baby Massage Oil 500ml(No Harmful Chemicals & Tear Free Formula),128.0,128.0,2025-09-23,2025-09-27,2025-09-25,received,4.0,,,
7f86e83c-ddd7-4030-a3b0-1fb21e459b1b,PO-2009,SUP052,LittleOnes Care,BB-6790,Wonder Dry Pants - Double Extra Large Size Diapers,65.0,65.0,2025-12-05,2025-12-09,2025-12-07,received,4.0,,,
3d8a2418-9115-4588-a2c5-28705fe23002,PO-2010,SUP052,LittleOnes Care,BB-16284,Dry Pants Diapers - Small,678.0,678.0,2025-06-03,2025-06-07,2025-06-05,received,5.0,,,
eff31617-c3bf-4f4b-b321-3c1a66d1113d,PO-2011,SUP052,LittleOnes Care,BB-10257,Baby Cottontouch Newborn Lotion,545.0,545.0,2025-08-13,2025-08-17,2025-08-22,received,4.0,,,
0d3fa67f-f77f-4d57-b589-b8522f0b62a2,PO-2012,SUP052,LittleOnes Care,BB-13647,Happy Baby Gift Pack,84.0,84.0,2026-04-20,2026-04-24,2026-04-23,received,5.0,,,
a822a59b-9d3a-41de-a622-1c8e4e4397e5,PO-2013,SUP052,LittleOnes Care,BB-23514,Baby Bubble Bath,193.0,193.0,2025-09-13,2025-09-17,2025-09-16,received,4.0,,,
